protein	locus	connectivity
ENSMUSP00000003561	ENSMUSG00000003469	10
ENSMUSP00000110015	ENSMUSG00000003476	16
ENSMUSP00000003569	ENSMUSG00000003477	15
ENSMUSP00000003574	ENSMUSG00000003484	71
ENSMUSP00000077289	ENSMUSG00000003500	75
ENSMUSP00000102791	ENSMUSG00000003518	32
ENSMUSP00000003620	ENSMUSG00000003526	60
ENSMUSP00000003621	ENSMUSG00000003527	29
ENSMUSP00000003622	ENSMUSG00000003528	26
ENSMUSP00000123053	ENSMUSG00000003531	19
ENSMUSP00000113062	ENSMUSG00000003534	24
ENSMUSP00000003635	ENSMUSG00000003541	69
ENSMUSP00000003640	ENSMUSG00000003545	51
ENSMUSP00000003642	ENSMUSG00000003546	10
ENSMUSP00000003645	ENSMUSG00000003549	95
ENSMUSP00000026012	ENSMUSG00000003555	93
ENSMUSP00000003655	ENSMUSG00000003559	2
ENSMUSP00000003669	ENSMUSG00000003573	16
ENSMUSP00000075916	ENSMUSG00000003575	25
ENSMUSP00000003705	ENSMUSG00000003604	5
ENSMUSP00000103965	ENSMUSG00000003617	37
ENSMUSP00000003720	ENSMUSG00000003623	8
ENSMUSP00000101514	ENSMUSG00000003644	76
ENSMUSP00000003754	ENSMUSG00000003657	58
ENSMUSP00000099509	ENSMUSG00000003660	130
ENSMUSP00000003759	ENSMUSG00000003662	4
ENSMUSP00000003762	ENSMUSG00000003665	4
ENSMUSP00000003777	ENSMUSG00000003680	5
ENSMUSP00000003818	ENSMUSG00000003721	20
ENSMUSP00000099650	ENSMUSG00000003731	16
ENSMUSP00000101110	ENSMUSG00000003746	16
ENSMUSP00000003850	ENSMUSG00000003752	2
ENSMUSP00000003860	ENSMUSG00000003762	2
ENSMUSP00000111431	ENSMUSG00000003778	8
ENSMUSP00000003877	ENSMUSG00000003779	112
ENSMUSP00000003906	ENSMUSG00000003808	28
ENSMUSP00000105367	ENSMUSG00000003809	29
ENSMUSP00000102095	ENSMUSG00000003810	18
ENSMUSP00000003910	ENSMUSG00000003812	9
ENSMUSP00000105383	ENSMUSG00000003813	32
ENSMUSP00000003912	ENSMUSG00000003814	69
ENSMUSP00000122159	ENSMUSG00000003824	4
ENSMUSP00000119370	ENSMUSG00000003847	45
ENSMUSP00000003946	ENSMUSG00000003848	13
ENSMUSP00000003947	ENSMUSG00000003849	66
ENSMUSP00000103408	ENSMUSG00000003863	1
ENSMUSP00000003964	ENSMUSG00000003865	38
ENSMUSP00000033087	ENSMUSG00000003868	75
ENSMUSP00000033093	ENSMUSG00000003873	172
ENSMUSP00000003981	ENSMUSG00000003882	110
ENSMUSP00000090086	ENSMUSG00000003923	181
ENSMUSP00000004036	ENSMUSG00000003934	24
ENSMUSP00000004050	ENSMUSG00000003948	3
ENSMUSP00000004051	ENSMUSG00000003949	35
ENSMUSP00000004057	ENSMUSG00000003955	6
ENSMUSP00000004072	ENSMUSG00000003970	304
ENSMUSP00000096030	ENSMUSG00000003974	23
ENSMUSP00000004076	ENSMUSG00000003974	28
ENSMUSP00000004094	ENSMUSG00000003992	17
ENSMUSP00000004120	ENSMUSG00000004018	29
ENSMUSP00000004134	ENSMUSG00000004032	86
ENSMUSP00000122567	ENSMUSG00000004035	72
ENSMUSP00000102289	ENSMUSG00000004038	104
ENSMUSP00000120152	ENSMUSG00000004040	248
ENSMUSP00000004143	ENSMUSG00000004043	80
ENSMUSP00000058321	ENSMUSG00000004044	46
ENSMUSP00000004156	ENSMUSG00000004054	32
ENSMUSP00000103981	ENSMUSG00000004056	98
ENSMUSP00000053842	ENSMUSG00000004069	23
ENSMUSP00000004172	ENSMUSG00000004070	43
ENSMUSP00000088334	ENSMUSG00000004085	4
ENSMUSP00000004200	ENSMUSG00000004096	10
ENSMUSP00000004201	ENSMUSG00000004098	36
ENSMUSP00000004202	ENSMUSG00000004099	150
ENSMUSP00000004203	ENSMUSG00000004100	41
ENSMUSP00000004208	ENSMUSG00000004105	10
ENSMUSP00000004214	ENSMUSG00000004110	38
ENSMUSP00000091064	ENSMUSG00000004113	21
ENSMUSP00000042082	ENSMUSG00000004127	16
ENSMUSP00000004316	ENSMUSG00000004207	33
ENSMUSP00000004330	ENSMUSG00000004221	105
ENSMUSP00000004340	ENSMUSG00000004231	229
ENSMUSP00000004343	ENSMUSG00000004233	68
ENSMUSP00000085695	ENSMUSG00000004263	27
ENSMUSP00000004375	ENSMUSG00000004264	59
ENSMUSP00000004377	ENSMUSG00000004266	141
ENSMUSP00000004378	ENSMUSG00000004267	78
ENSMUSP00000004379	ENSMUSG00000004268	229
ENSMUSP00000004381	ENSMUSG00000004270	14
ENSMUSP00000004396	ENSMUSG00000004285	39
ENSMUSP00000099860	ENSMUSG00000004296	122
ENSMUSP00000111412	ENSMUSG00000004317	33
ENSMUSP00000004430	ENSMUSG00000004319	25
ENSMUSP00000104132	ENSMUSG00000004328	27
ENSMUSP00000004453	ENSMUSG00000004341	46
ENSMUSP00000106117	ENSMUSG00000004344	56
ENSMUSP00000046601	ENSMUSG00000004347	72
ENSMUSP00000004470	ENSMUSG00000004356	2
ENSMUSP00000004473	ENSMUSG00000004359	7
ENSMUSP00000004478	ENSMUSG00000004364	65
ENSMUSP00000004480	ENSMUSG00000004366	94
ENSMUSP00000092492	ENSMUSG00000004371	67
ENSMUSP00000112617	ENSMUSG00000004383	49
ENSMUSP00000004507	ENSMUSG00000004393	19
ENSMUSP00000004508	ENSMUSG00000004394	6
ENSMUSP00000052095	ENSMUSG00000004415	13
ENSMUSP00000004560	ENSMUSG00000004446	25
ENSMUSP00000004565	ENSMUSG00000004451	16
ENSMUSP00000039109	ENSMUSG00000004455	57
ENSMUSP00000004574	ENSMUSG00000004460	62
ENSMUSP00000004587	ENSMUSG00000004473	10
ENSMUSP00000004622	ENSMUSG00000004508	71
ENSMUSP00000004646	ENSMUSG00000004530	18
ENSMUSP00000079548	ENSMUSG00000004535	40
ENSMUSP00000004655	ENSMUSG00000004540	8
ENSMUSP00000112235	ENSMUSG00000004552	34
ENSMUSP00000004673	ENSMUSG00000004558	15
ENSMUSP00000004681	ENSMUSG00000004565	8
ENSMUSP00000106705	ENSMUSG00000004567	14
ENSMUSP00000004684	ENSMUSG00000004568	17
ENSMUSP00000039566	ENSMUSG00000004591	20
ENSMUSP00000004728	ENSMUSG00000004609	29
ENSMUSP00000004729	ENSMUSG00000004610	105
ENSMUSP00000068946	ENSMUSG00000004612	10
ENSMUSP00000004732	ENSMUSG00000004613	31
ENSMUSP00000004745	ENSMUSG00000004626	14
ENSMUSP00000121079	ENSMUSG00000004630	33
ENSMUSP00000111240	ENSMUSG00000004631	43
ENSMUSP00000035908	ENSMUSG00000004633	24
ENSMUSP00000004756	ENSMUSG00000004637	60
ENSMUSP00000062930	ENSMUSG00000004642	81
ENSMUSP00000004770	ENSMUSG00000004651	46
ENSMUSP00000068120	ENSMUSG00000004654	37
ENSMUSP00000004774	ENSMUSG00000004655	24
ENSMUSP00000109802	ENSMUSG00000004661	5
ENSMUSP00000004784	ENSMUSG00000004665	26
ENSMUSP00000004786	ENSMUSG00000004667	334
ENSMUSP00000040465	ENSMUSG00000004668	31
ENSMUSP00000096245	ENSMUSG00000004677	18
ENSMUSP00000052767	ENSMUSG00000004698	43
ENSMUSP00000069319	ENSMUSG00000004707	12
ENSMUSP00000004829	ENSMUSG00000004709	50
ENSMUSP00000004850	ENSMUSG00000004730	66
ENSMUSP00000004868	ENSMUSG00000004748	2
ENSMUSP00000085625	ENSMUSG00000004768	24
ENSMUSP00000004910	ENSMUSG00000004788	15
ENSMUSP00000060346	ENSMUSG00000004789	59
ENSMUSP00000004913	ENSMUSG00000004791	29
ENSMUSP00000004920	ENSMUSG00000004798	7
ENSMUSP00000004936	ENSMUSG00000004814	66
ENSMUSP00000057859	ENSMUSG00000004815	41
ENSMUSP00000004959	ENSMUSG00000004837	10
ENSMUSP00000004964	ENSMUSG00000004842	170
ENSMUSP00000004965	ENSMUSG00000004843	6
ENSMUSP00000004968	ENSMUSG00000004846	24
ENSMUSP00000115941	ENSMUSG00000004849	20
ENSMUSP00000004986	ENSMUSG00000004864	97
ENSMUSP00000116259	ENSMUSG00000004865	7
ENSMUSP00000004994	ENSMUSG00000004872	227
ENSMUSP00000005003	ENSMUSG00000004880	35
ENSMUSP00000005019	ENSMUSG00000004885	24
ENSMUSP00000088493	ENSMUSG00000004891	18
ENSMUSP00000088491	ENSMUSG00000004892	10
ENSMUSP00000005014	ENSMUSG00000004894	1
ENSMUSP00000005015	ENSMUSG00000004895	23
ENSMUSP00000005017	ENSMUSG00000004897	52
ENSMUSP00000108302	ENSMUSG00000004902	1
ENSMUSP00000005057	ENSMUSG00000004929	6
ENSMUSP00000050995	ENSMUSG00000004931	8
ENSMUSP00000100967	ENSMUSG00000004933	2
ENSMUSP00000005064	ENSMUSG00000004934	42
ENSMUSP00000005066	ENSMUSG00000004936	59
ENSMUSP00000005067	ENSMUSG00000004937	58
ENSMUSP00000005069	ENSMUSG00000004939	6
ENSMUSP00000106772	ENSMUSG00000004947	24
ENSMUSP00000005073	ENSMUSG00000004948	40
ENSMUSP00000005077	ENSMUSG00000004951	57
ENSMUSP00000037869	ENSMUSG00000004952	9
ENSMUSP00000070322	ENSMUSG00000004961	5
ENSMUSP00000110103	ENSMUSG00000004980	208
ENSMUSP00000005114	ENSMUSG00000004988	5
ENSMUSP00000122623	ENSMUSG00000004996	59
ENSMUSP00000005606	ENSMUSG00000005034	123
ENSMUSP00000005164	ENSMUSG00000005034	96
ENSMUSP00000005173	ENSMUSG00000005043	9
ENSMUSP00000030775	ENSMUSG00000005045	1
ENSMUSP00000005185	ENSMUSG00000005054	52
ENSMUSP00000005188	ENSMUSG00000005057	32
ENSMUSP00000108151	ENSMUSG00000005069	42
ENSMUSP00000112122	ENSMUSG00000005078	3
ENSMUSP00000005218	ENSMUSG00000005087	198
ENSMUSP00000106842	ENSMUSG00000005089	26
ENSMUSP00000005233	ENSMUSG00000005102	12
ENSMUSP00000005234	ENSMUSG00000005103	41
ENSMUSP00000063352	ENSMUSG00000005107	1
ENSMUSP00000005255	ENSMUSG00000005124	42
ENSMUSP00000005256	ENSMUSG00000005125	41
ENSMUSP00000034121	ENSMUSG00000005142	18
ENSMUSP00000005279	ENSMUSG00000005148	39
ENSMUSP00000091048	ENSMUSG00000005150	6
ENSMUSP00000105355	ENSMUSG00000005161	29
ENSMUSP00000050771	ENSMUSG00000005198	271
ENSMUSP00000005334	ENSMUSG00000005202	45
ENSMUSP00000066581	ENSMUSG00000005204	6
ENSMUSP00000005352	ENSMUSG00000005220	4
ENSMUSP00000005364	ENSMUSG00000005232	12
ENSMUSP00000005365	ENSMUSG00000005233	85
ENSMUSP00000019386	ENSMUSG00000005251	11
ENSMUSP00000005394	ENSMUSG00000005262	37
ENSMUSP00000122219	ENSMUSG00000005268	54
ENSMUSP00000005431	ENSMUSG00000005299	4
ENSMUSP00000050191	ENSMUSG00000005312	30
ENSMUSP00000005452	ENSMUSG00000005320	77
ENSMUSP00000005470	ENSMUSG00000005338	15
ENSMUSP00000056882	ENSMUSG00000005339	53
ENSMUSP00000105370	ENSMUSG00000005354	34
ENSMUSP00000005488	ENSMUSG00000005355	4
ENSMUSP00000005490	ENSMUSG00000005357	20
ENSMUSP00000005493	ENSMUSG00000005360	23
ENSMUSP00000061604	ENSMUSG00000005362	38
ENSMUSP00000005497	ENSMUSG00000005364	39
ENSMUSP00000005503	ENSMUSG00000005370	86
ENSMUSP00000005504	ENSMUSG00000005371	21
ENSMUSP00000005507	ENSMUSG00000005373	185
ENSMUSP00000115011	ENSMUSG00000005374	22
ENSMUSP00000005512	ENSMUSG00000005378	53
ENSMUSP00000005545	ENSMUSG00000005410	153
ENSMUSP00000005548	ENSMUSG00000005413	88
ENSMUSP00000071081	ENSMUSG00000005417	3
ENSMUSP00000092284	ENSMUSG00000005442	21
ENSMUSP00000005583	ENSMUSG00000005447	44
ENSMUSP00000005601	ENSMUSG00000005465	35
ENSMUSP00000005607	ENSMUSG00000005470	67
ENSMUSP00000005611	ENSMUSG00000005474	17
ENSMUSP00000070682	ENSMUSG00000005481	25
ENSMUSP00000005620	ENSMUSG00000005483	67
ENSMUSP00000005630	ENSMUSG00000005493	38
ENSMUSP00000031787	ENSMUSG00000005503	13
ENSMUSP00000005643	ENSMUSG00000005506	33
ENSMUSP00000005647	ENSMUSG00000005510	174
ENSMUSP00000005651	ENSMUSG00000005514	5
ENSMUSP00000005671	ENSMUSG00000005533	134
ENSMUSP00000088837	ENSMUSG00000005534	124
ENSMUSP00000005678	ENSMUSG00000005540	17
ENSMUSP00000096254	ENSMUSG00000005547	74
ENSMUSP00000005692	ENSMUSG00000005553	18
ENSMUSP00000005705	ENSMUSG00000005566	83
ENSMUSP00000005714	ENSMUSG00000005575	11
ENSMUSP00000113498	ENSMUSG00000005580	94
ENSMUSP00000105188	ENSMUSG00000005583	103
ENSMUSP00000005749	ENSMUSG00000005609	15
ENSMUSP00000005750	ENSMUSG00000005610	25
ENSMUSP00000114578	ENSMUSG00000005611	7
ENSMUSP00000110793	ENSMUSG00000005615	17
ENSMUSP00000102976	ENSMUSG00000005621	1
ENSMUSP00000071589	ENSMUSG00000005625	92
ENSMUSP00000115570	ENSMUSG00000005629	12
ENSMUSP00000029711	ENSMUSG00000005640	34
ENSMUSP00000112415	ENSMUSG00000005649	1
ENSMUSP00000005798	ENSMUSG00000005656	11
ENSMUSP00000005810	ENSMUSG00000005667	49
ENSMUSP00000116465	ENSMUSG00000005672	91
ENSMUSP00000106959	ENSMUSG00000005674	1
ENSMUSP00000005820	ENSMUSG00000005677	131
ENSMUSP00000106951	ENSMUSG00000005681	82
ENSMUSP00000100871	ENSMUSG00000005682	9
ENSMUSP00000052373	ENSMUSG00000005683	46
ENSMUSP00000123052	ENSMUSG00000005686	49
ENSMUSP00000005830	ENSMUSG00000005687	8
ENSMUSP00000005839	ENSMUSG00000005696	39
ENSMUSP00000005841	ENSMUSG00000005698	58
ENSMUSP00000112132	ENSMUSG00000005699	59
ENSMUSP00000005849	ENSMUSG00000005705	59
ENSMUSP00000005860	ENSMUSG00000005716	85
ENSMUSP00000005862	ENSMUSG00000005718	32
ENSMUSP00000111309	ENSMUSG00000005732	58
ENSMUSP00000027849	ENSMUSG00000005763	96
ENSMUSP00000029772	ENSMUSG00000005774	21
ENSMUSP00000005923	ENSMUSG00000005779	65
ENSMUSP00000018765	ENSMUSG00000005800	17
ENSMUSP00000005952	ENSMUSG00000005802	34
ENSMUSP00000106133	ENSMUSG00000005803	22
ENSMUSP00000005954	ENSMUSG00000005804	31
ENSMUSP00000029804	ENSMUSG00000005813	50
ENSMUSP00000005976	ENSMUSG00000005824	18
ENSMUSP00000041774	ENSMUSG00000005836	210
ENSMUSP00000068288	ENSMUSG00000005846	10
ENSMUSP00000006020	ENSMUSG00000005864	8
ENSMUSP00000078337	ENSMUSG00000005871	133
ENSMUSP00000006027	ENSMUSG00000005873	18
ENSMUSP00000086025	ENSMUSG00000005881	14
ENSMUSP00000105264	ENSMUSG00000005882	6
ENSMUSP00000059056	ENSMUSG00000005883	71
ENSMUSP00000006037	ENSMUSG00000005886	72
ENSMUSP00000021779	ENSMUSG00000005891	49
ENSMUSP00000006046	ENSMUSG00000005892	45
ENSMUSP00000109090	ENSMUSG00000005893	74
ENSMUSP00000089858	ENSMUSG00000005897	72
ENSMUSP00000006053	ENSMUSG00000005899	37
ENSMUSP00000113304	ENSMUSG00000005907	18
ENSMUSP00000006071	ENSMUSG00000005917	22
ENSMUSP00000006101	ENSMUSG00000005947	18
ENSMUSP00000104116	ENSMUSG00000005949	2
ENSMUSP00000006105	ENSMUSG00000005951	1
ENSMUSP00000099585	ENSMUSG00000005952	53
ENSMUSP00000006112	ENSMUSG00000005958	30
ENSMUSP00000006123	ENSMUSG00000005968	12
ENSMUSP00000006128	ENSMUSG00000005973	10
ENSMUSP00000113119	ENSMUSG00000005980	23
ENSMUSP00000006137	ENSMUSG00000005981	24
ENSMUSP00000099895	ENSMUSG00000005994	47
ENSMUSP00000066479	ENSMUSG00000006005	95
ENSMUSP00000006164	ENSMUSG00000006007	64
ENSMUSP00000006171	ENSMUSG00000006014	21
ENSMUSP00000006178	ENSMUSG00000006021	2
ENSMUSP00000006181	ENSMUSG00000006024	27
ENSMUSP00000006209	ENSMUSG00000006050	182
ENSMUSP00000087407	ENSMUSG00000006056	1
ENSMUSP00000088029	ENSMUSG00000006057	38
ENSMUSP00000006217	ENSMUSG00000006058	13
ENSMUSP00000006254	ENSMUSG00000006095	19
ENSMUSP00000006286	ENSMUSG00000006127	28
ENSMUSP00000006293	ENSMUSG00000006134	115
ENSMUSP00000083559	ENSMUSG00000006154	3
ENSMUSP00000104884	ENSMUSG00000006169	37
ENSMUSP00000006341	ENSMUSG00000006179	13
ENSMUSP00000006353	ENSMUSG00000006191	57
ENSMUSP00000006362	ENSMUSG00000006200	12
ENSMUSP00000061529	ENSMUSG00000006204	4
ENSMUSP00000006367	ENSMUSG00000006205	40
ENSMUSP00000006377	ENSMUSG00000006215	63
ENSMUSP00000006378	ENSMUSG00000006216	23
ENSMUSP00000006381	ENSMUSG00000006219	18
ENSMUSP00000099544	ENSMUSG00000006221	10
ENSMUSP00000006397	ENSMUSG00000006235	92
ENSMUSP00000006403	ENSMUSG00000006241	16
ENSMUSP00000098802	ENSMUSG00000006262	17
ENSMUSP00000006431	ENSMUSG00000006269	35
ENSMUSP00000006432	ENSMUSG00000006270	13
ENSMUSP00000006435	ENSMUSG00000006273	45
ENSMUSP00000006439	ENSMUSG00000006276	32
ENSMUSP00000006444	ENSMUSG00000006281	10
ENSMUSP00000006452	ENSMUSG00000006289	41
ENSMUSP00000006462	ENSMUSG00000006299	25
ENSMUSP00000109427	ENSMUSG00000006301	7
ENSMUSP00000006467	ENSMUSG00000006304	66
ENSMUSP00000006470	ENSMUSG00000006307	1
ENSMUSP00000006473	ENSMUSG00000006310	26
ENSMUSP00000006474	ENSMUSG00000006311	3
ENSMUSP00000006476	ENSMUSG00000006313	5
ENSMUSP00000006478	ENSMUSG00000006315	88
ENSMUSP00000104265	ENSMUSG00000006333	244
ENSMUSP00000104281	ENSMUSG00000006335	42
ENSMUSP00000072074	ENSMUSG00000006344	65
ENSMUSP00000121312	ENSMUSG00000006345	51
ENSMUSP00000081943	ENSMUSG00000006356	23
ENSMUSP00000006523	ENSMUSG00000006360	16
ENSMUSP00000118997	ENSMUSG00000006362	31
ENSMUSP00000054583	ENSMUSG00000006369	35
ENSMUSP00000073061	ENSMUSG00000006373	11
ENSMUSP00000006544	ENSMUSG00000006378	27
ENSMUSP00000060517	ENSMUSG00000006378	11
ENSMUSP00000099862	ENSMUSG00000006386	41
ENSMUSP00000006556	ENSMUSG00000006389	70
ENSMUSP00000064816	ENSMUSG00000006390	5
ENSMUSP00000019229	ENSMUSG00000006392	32
ENSMUSP00000006562	ENSMUSG00000006395	10
ENSMUSP00000006565	ENSMUSG00000006398	224
ENSMUSP00000006570	ENSMUSG00000006403	31
ENSMUSP00000106917	ENSMUSG00000006411	7
ENSMUSP00000120106	ENSMUSG00000006412	33
ENSMUSP00000104837	ENSMUSG00000006418	11
ENSMUSP00000006591	ENSMUSG00000006423	1
ENSMUSP00000107439	ENSMUSG00000006435	18
ENSMUSP00000006611	ENSMUSG00000006442	39
ENSMUSP00000006614	ENSMUSG00000006445	42
ENSMUSP00000006625	ENSMUSG00000006456	14
ENSMUSP00000006628	ENSMUSG00000006456	7
ENSMUSP00000006626	ENSMUSG00000006457	63
ENSMUSP00000055321	ENSMUSG00000006464	1
ENSMUSP00000006638	ENSMUSG00000006469	28
ENSMUSP00000109989	ENSMUSG00000006471	5
ENSMUSP00000097908	ENSMUSG00000006476	21
ENSMUSP00000093614	ENSMUSG00000006488	54
ENSMUSP00000006662	ENSMUSG00000006490	49
ENSMUSP00000006669	ENSMUSG00000006494	34
ENSMUSP00000093109	ENSMUSG00000006498	190
ENSMUSP00000006692	ENSMUSG00000006517	37
ENSMUSP00000017604	ENSMUSG00000006519	50
ENSMUSP00000006697	ENSMUSG00000006522	2
ENSMUSP00000006701	ENSMUSG00000006526	1
ENSMUSP00000060021	ENSMUSG00000006527	1
ENSMUSP00000006704	ENSMUSG00000006529	16
ENSMUSP00000006713	ENSMUSG00000006538	104
ENSMUSP00000080342	ENSMUSG00000006542	39
ENSMUSP00000006721	ENSMUSG00000006546	9
ENSMUSP00000006742	ENSMUSG00000006567	22
ENSMUSP00000006745	ENSMUSG00000006570	6
ENSMUSP00000006749	ENSMUSG00000006574	38
ENSMUSP00000006750	ENSMUSG00000006575	12
ENSMUSP00000109173	ENSMUSG00000006576	11
ENSMUSP00000006760	ENSMUSG00000006585	88
ENSMUSP00000095857	ENSMUSG00000006586	28
ENSMUSP00000006762	ENSMUSG00000006587	142
ENSMUSP00000006764	ENSMUSG00000006589	164
ENSMUSP00000103271	ENSMUSG00000006599	87
ENSMUSP00000089298	ENSMUSG00000006611	26
ENSMUSP00000110316	ENSMUSG00000006641	6
ENSMUSP00000006825	ENSMUSG00000006649	74
ENSMUSP00000006828	ENSMUSG00000006651	31
ENSMUSP00000006853	ENSMUSG00000006675	10
ENSMUSP00000082119	ENSMUSG00000006676	4
ENSMUSP00000006856	ENSMUSG00000006678	84
ENSMUSP00000054634	ENSMUSG00000006699	318
ENSMUSP00000094966	ENSMUSG00000006705	175
ENSMUSP00000006893	ENSMUSG00000006711	6
ENSMUSP00000006898	ENSMUSG00000006715	97
ENSMUSP00000006900	ENSMUSG00000006717	53
ENSMUSP00000006907	ENSMUSG00000006724	32
ENSMUSP00000006911	ENSMUSG00000006728	261
ENSMUSP00000006914	ENSMUSG00000006731	28
ENSMUSP00000006915	ENSMUSG00000006732	119
ENSMUSP00000025083	ENSMUSG00000006740	28
ENSMUSP00000006949	ENSMUSG00000006764	27
ENSMUSP00000099409	ENSMUSG00000006782	12
ENSMUSP00000085405	ENSMUSG00000006800	37
ENSMUSP00000007012	ENSMUSG00000006818	160
ENSMUSP00000070876	ENSMUSG00000006906	20
ENSMUSP00000102906	ENSMUSG00000006920	23
ENSMUSP00000050541	ENSMUSG00000006930	9
ENSMUSP00000007130	ENSMUSG00000006932	513
ENSMUSP00000007161	ENSMUSG00000006948	15
ENSMUSP00000007171	ENSMUSG00000006958	18
ENSMUSP00000007212	ENSMUSG00000006998	91
ENSMUSP00000007236	ENSMUSG00000007021	8
ENSMUSP00000084572	ENSMUSG00000007029	37
ENSMUSP00000007245	ENSMUSG00000007030	14
ENSMUSP00000007248	ENSMUSG00000007033	29
ENSMUSP00000007250	ENSMUSG00000007035	35
ENSMUSP00000007251	ENSMUSG00000007036	16
ENSMUSP00000007253	ENSMUSG00000007038	33
ENSMUSP00000007255	ENSMUSG00000007039	17
ENSMUSP00000007257	ENSMUSG00000007041	43
ENSMUSP00000007260	ENSMUSG00000007044	9
ENSMUSP00000007266	ENSMUSG00000007050	154
ENSMUSP00000007296	ENSMUSG00000007080	70
ENSMUSP00000083077	ENSMUSG00000007097	46
ENSMUSP00000007346	ENSMUSG00000007107	10
ENSMUSP00000003554	ENSMUSG00000007122	30
ENSMUSP00000005509	ENSMUSG00000007207	52
ENSMUSP00000001984	ENSMUSG00000007209	2
ENSMUSP00000007423	ENSMUSG00000007279	2
ENSMUSP00000007482	ENSMUSG00000007338	3
ENSMUSP00000007555	ENSMUSG00000007411	28
ENSMUSP00000069460	ENSMUSG00000007440	1
ENSMUSP00000039888	ENSMUSG00000007440	11
ENSMUSP00000108229	ENSMUSG00000007458	39
ENSMUSP00000007624	ENSMUSG00000007480	12
ENSMUSP00000007708	ENSMUSG00000007564	135
ENSMUSP00000007714	ENSMUSG00000007570	7
ENSMUSP00000098104	ENSMUSG00000007589	19
ENSMUSP00000007735	ENSMUSG00000007591	4
ENSMUSP00000007747	ENSMUSG00000007603	45
ENSMUSP00000007754	ENSMUSG00000007610	33
ENSMUSP00000007757	ENSMUSG00000007613	69
ENSMUSP00000078093	ENSMUSG00000007617	35
ENSMUSP00000007790	ENSMUSG00000007646	35
ENSMUSP00000007797	ENSMUSG00000007653	18
ENSMUSP00000111116	ENSMUSG00000007655	95
ENSMUSP00000007800	ENSMUSG00000007656	17
ENSMUSP00000086454	ENSMUSG00000007659	86
ENSMUSP00000007814	ENSMUSG00000007670	52
ENSMUSP00000081013	ENSMUSG00000007682	20
ENSMUSP00000020562	ENSMUSG00000007739	28
ENSMUSP00000069539	ENSMUSG00000007783	15
ENSMUSP00000007949	ENSMUSG00000007805	45
ENSMUSP00000102399	ENSMUSG00000007815	24
ENSMUSP00000007961	ENSMUSG00000007817	5
ENSMUSP00000108449	ENSMUSG00000007827	41
ENSMUSP00000007977	ENSMUSG00000007833	3
ENSMUSP00000007980	ENSMUSG00000007836	92
ENSMUSP00000103464	ENSMUSG00000007837	13
ENSMUSP00000008016	ENSMUSG00000007872	25
ENSMUSP00000008021	ENSMUSG00000007877	76
ENSMUSP00000101517	ENSMUSG00000007880	47
ENSMUSP00000008032	ENSMUSG00000007888	31
ENSMUSP00000008035	ENSMUSG00000007891	94
ENSMUSP00000008052	ENSMUSG00000007908	6
ENSMUSP00000008088	ENSMUSG00000007944	1
ENSMUSP00000008090	ENSMUSG00000007946	19
ENSMUSP00000008131	ENSMUSG00000007987	4
ENSMUSP00000115325	ENSMUSG00000007989	98
ENSMUSP00000008179	ENSMUSG00000008035	5
ENSMUSP00000083281	ENSMUSG00000008036	36
ENSMUSP00000013633	ENSMUSG00000008090	24
ENSMUSP00000008280	ENSMUSG00000008136	48
ENSMUSP00000008297	ENSMUSG00000008153	14
ENSMUSP00000092845	ENSMUSG00000008167	1
ENSMUSP00000096084	ENSMUSG00000008193	170
ENSMUSP00000013759	ENSMUSG00000008200	30
ENSMUSP00000008350	ENSMUSG00000008206	6
ENSMUSP00000088320	ENSMUSG00000008226	1
ENSMUSP00000008445	ENSMUSG00000008301	51
ENSMUSP00000030095	ENSMUSG00000008305	172
ENSMUSP00000008462	ENSMUSG00000008318	15
ENSMUSP00000008477	ENSMUSG00000008333	96
ENSMUSP00000115578	ENSMUSG00000008348	77
ENSMUSP00000019649	ENSMUSG00000008348	41
ENSMUSP00000008517	ENSMUSG00000008373	61
ENSMUSP00000008528	ENSMUSG00000008384	22
ENSMUSP00000008537	ENSMUSG00000008393	7
ENSMUSP00000008542	ENSMUSG00000008398	7
ENSMUSP00000008579	ENSMUSG00000008435	1
ENSMUSP00000008582	ENSMUSG00000008438	2
ENSMUSP00000008605	ENSMUSG00000008461	35
ENSMUSP00000076933	ENSMUSG00000008475	14
ENSMUSP00000008626	ENSMUSG00000008482	2
ENSMUSP00000102741	ENSMUSG00000008489	45
ENSMUSP00000104056	ENSMUSG00000008496	23
ENSMUSP00000112923	ENSMUSG00000008540	166
ENSMUSP00000052863	ENSMUSG00000008575	38
ENSMUSP00000008734	ENSMUSG00000008590	1
ENSMUSP00000008745	ENSMUSG00000008601	17
ENSMUSP00000008748	ENSMUSG00000008604	6
ENSMUSP00000049970	ENSMUSG00000008658	34
ENSMUSP00000100795	ENSMUSG00000008682	54
ENSMUSP00000084014	ENSMUSG00000008683	58
ENSMUSP00000071121	ENSMUSG00000008683	63
ENSMUSP00000119975	ENSMUSG00000008683	68
ENSMUSP00000086095	ENSMUSG00000008690	9
ENSMUSP00000029438	ENSMUSG00000008730	9
ENSMUSP00000008878	ENSMUSG00000008734	10
ENSMUSP00000008907	ENSMUSG00000008763	13
ENSMUSP00000080582	ENSMUSG00000008789	1
ENSMUSP00000112609	ENSMUSG00000008822	12
ENSMUSP00000008987	ENSMUSG00000008843	28
ENSMUSP00000108160	ENSMUSG00000008845	13
ENSMUSP00000008999	ENSMUSG00000008855	66
