protein	locus	connectivity
ENSMUSP00000002091	ENSMUSG00000002015	34
ENSMUSP00000002073	ENSMUSG00000002020	10
ENSMUSP00000110337	ENSMUSG00000002028	71
ENSMUSP00000002099	ENSMUSG00000002031	4
ENSMUSP00000083113	ENSMUSG00000002032	9
ENSMUSP00000002101	ENSMUSG00000002033	75
ENSMUSP00000104095	ENSMUSG00000002043	2
ENSMUSP00000002121	ENSMUSG00000002052	25
ENSMUSP00000045286	ENSMUSG00000002055	50
ENSMUSP00000103929	ENSMUSG00000002057	50
ENSMUSP00000103930	ENSMUSG00000002058	13
ENSMUSP00000103959	ENSMUSG00000002059	9
ENSMUSP00000002133	ENSMUSG00000002064	17
ENSMUSP00000054023	ENSMUSG00000002068	78
ENSMUSP00000002145	ENSMUSG00000002076	3
ENSMUSP00000002152	ENSMUSG00000002083	2
ENSMUSP00000028718	ENSMUSG00000002100	42
ENSMUSP00000002171	ENSMUSG00000002102	106
ENSMUSP00000002172	ENSMUSG00000002103	31
ENSMUSP00000054150	ENSMUSG00000002104	32
ENSMUSP00000107063	ENSMUSG00000002105	5
ENSMUSP00000110584	ENSMUSG00000002107	32
ENSMUSP00000002177	ENSMUSG00000002108	95
ENSMUSP00000028696	ENSMUSG00000002109	55
ENSMUSP00000002180	ENSMUSG00000002111	222
ENSMUSP00000002198	ENSMUSG00000002129	93
ENSMUSP00000089708	ENSMUSG00000002147	118
ENSMUSP00000105457	ENSMUSG00000002190	35
ENSMUSP00000002274	ENSMUSG00000002204	10
ENSMUSP00000002275	ENSMUSG00000002205	4
ENSMUSP00000002280	ENSMUSG00000002210	7
ENSMUSP00000002291	ENSMUSG00000002221	35
ENSMUSP00000102389	ENSMUSG00000002227	17
ENSMUSP00000002298	ENSMUSG00000002228	2
ENSMUSP00000007959	ENSMUSG00000002233	231
ENSMUSP00000019363	ENSMUSG00000002249	8
ENSMUSP00000002320	ENSMUSG00000002250	119
ENSMUSP00000002327	ENSMUSG00000002257	25
ENSMUSP00000050750	ENSMUSG00000002265	65
ENSMUSP00000113585	ENSMUSG00000002266	10
ENSMUSP00000002344	ENSMUSG00000002274	11
ENSMUSP00000112340	ENSMUSG00000002279	7
ENSMUSP00000117136	ENSMUSG00000002280	9
ENSMUSP00000002360	ENSMUSG00000002289	45
ENSMUSP00000002368	ENSMUSG00000002297	36
ENSMUSP00000078390	ENSMUSG00000002307	33
ENSMUSP00000002379	ENSMUSG00000002308	69
ENSMUSP00000036555	ENSMUSG00000002319	19
ENSMUSP00000113782	ENSMUSG00000002320	8
ENSMUSP00000002395	ENSMUSG00000002324	28
ENSMUSP00000120525	ENSMUSG00000002325	56
ENSMUSP00000002397	ENSMUSG00000002326	51
ENSMUSP00000002400	ENSMUSG00000002329	5
ENSMUSP00000002403	ENSMUSG00000002332	1
ENSMUSP00000002412	ENSMUSG00000002341	22
ENSMUSP00000065903	ENSMUSG00000002346	1
ENSMUSP00000002436	ENSMUSG00000002365	18
ENSMUSP00000002445	ENSMUSG00000002372	6
ENSMUSP00000002452	ENSMUSG00000002379	71
ENSMUSP00000097632	ENSMUSG00000002379	1
ENSMUSP00000002457	ENSMUSG00000002384	32
ENSMUSP00000002466	ENSMUSG00000002393	60
ENSMUSP00000019169	ENSMUSG00000002395	32
ENSMUSP00000002483	ENSMUSG00000002409	19
ENSMUSP00000002487	ENSMUSG00000002413	83
ENSMUSP00000114095	ENSMUSG00000002416	58
ENSMUSP00000002502	ENSMUSG00000002428	20
ENSMUSP00000002529	ENSMUSG00000002455	108
ENSMUSP00000104408	ENSMUSG00000002458	46
ENSMUSP00000113398	ENSMUSG00000002459	26
ENSMUSP00000002551	ENSMUSG00000002477	216
ENSMUSP00000109759	ENSMUSG00000002489	64
ENSMUSP00000085764	ENSMUSG00000002496	109
ENSMUSP00000038326	ENSMUSG00000002500	71
ENSMUSP00000002572	ENSMUSG00000002504	52
ENSMUSP00000098096	ENSMUSG00000002524	11
ENSMUSP00000097768	ENSMUSG00000002546	17
ENSMUSP00000002625	ENSMUSG00000002550	16
ENSMUSP00000002640	ENSMUSG00000002565	27
ENSMUSP00000066991	ENSMUSG00000002578	5
ENSMUSP00000002655	ENSMUSG00000002580	33
ENSMUSP00000002663	ENSMUSG00000002588	20
ENSMUSP00000002677	ENSMUSG00000002602	28
ENSMUSP00000002678	ENSMUSG00000002603	120
ENSMUSP00000051389	ENSMUSG00000002625	8
ENSMUSP00000002708	ENSMUSG00000002633	241
ENSMUSP00000002733	ENSMUSG00000002658	149
ENSMUSP00000002735	ENSMUSG00000002660	143
ENSMUSP00000002737	ENSMUSG00000002661	5
ENSMUSP00000002740	ENSMUSG00000002664	17
ENSMUSP00000011623	ENSMUSG00000002668	4
ENSMUSP00000098797	ENSMUSG00000002679	34
ENSMUSP00000002765	ENSMUSG00000002688	54
ENSMUSP00000056621	ENSMUSG00000002699	83
ENSMUSP00000002790	ENSMUSG00000002718	91
ENSMUSP00000002805	ENSMUSG00000002728	1
ENSMUSP00000002808	ENSMUSG00000002731	10
ENSMUSP00000002809	ENSMUSG00000002732	1
ENSMUSP00000002810	ENSMUSG00000002733	4
ENSMUSP00000002818	ENSMUSG00000002741	25
ENSMUSP00000002825	ENSMUSG00000002748	49
ENSMUSP00000002840	ENSMUSG00000002763	27
ENSMUSP00000002844	ENSMUSG00000002767	63
ENSMUSP00000002845	ENSMUSG00000002768	11
ENSMUSP00000002846	ENSMUSG00000002769	42
ENSMUSP00000002848	ENSMUSG00000002771	40
ENSMUSP00000002855	ENSMUSG00000002778	1
ENSMUSP00000070405	ENSMUSG00000002781	3
ENSMUSP00000120154	ENSMUSG00000002797	18
ENSMUSP00000075224	ENSMUSG00000002799	66
ENSMUSP00000002881	ENSMUSG00000002804	5
ENSMUSP00000002885	ENSMUSG00000002808	9
ENSMUSP00000002889	ENSMUSG00000002812	17
ENSMUSP00000002891	ENSMUSG00000002814	42
ENSMUSP00000002902	ENSMUSG00000002825	77
ENSMUSP00000002908	ENSMUSG00000002831	23
ENSMUSP00000002911	ENSMUSG00000002833	2
ENSMUSP00000002914	ENSMUSG00000002835	18
ENSMUSP00000002923	ENSMUSG00000002844	2
ENSMUSP00000002926	ENSMUSG00000002847	6
ENSMUSP00000061923	ENSMUSG00000002870	171
ENSMUSP00000063042	ENSMUSG00000002871	7
ENSMUSP00000066696	ENSMUSG00000002881	13
ENSMUSP00000075240	ENSMUSG00000002885	12
ENSMUSP00000002976	ENSMUSG00000002897	39
ENSMUSP00000002979	ENSMUSG00000002900	60
ENSMUSP00000002987	ENSMUSG00000002908	2
ENSMUSP00000059708	ENSMUSG00000002930	19
ENSMUSP00000080974	ENSMUSG00000002944	27
ENSMUSP00000050752	ENSMUSG00000002948	36
ENSMUSP00000003029	ENSMUSG00000002949	33
ENSMUSP00000003038	ENSMUSG00000002957	45
ENSMUSP00000003044	ENSMUSG00000002963	6
ENSMUSP00000003049	ENSMUSG00000002968	26
ENSMUSP00000003061	ENSMUSG00000002980	13
ENSMUSP00000051293	ENSMUSG00000002981	6
ENSMUSP00000092355	ENSMUSG00000002983	62
ENSMUSP00000104090	ENSMUSG00000002984	16
ENSMUSP00000003066	ENSMUSG00000002985	129
ENSMUSP00000115173	ENSMUSG00000002992	35
ENSMUSP00000080344	ENSMUSG00000002996	19
ENSMUSP00000003079	ENSMUSG00000002997	82
ENSMUSP00000065832	ENSMUSG00000003031	144
ENSMUSP00000103245	ENSMUSG00000003032	63
ENSMUSP00000003117	ENSMUSG00000003033	17
ENSMUSP00000096232	ENSMUSG00000003037	39
ENSMUSP00000003135	ENSMUSG00000003051	22
ENSMUSP00000003137	ENSMUSG00000003053	126
ENSMUSP00000037991	ENSMUSG00000003062	4
ENSMUSP00000003152	ENSMUSG00000003068	67
ENSMUSP00000003154	ENSMUSG00000003070	27
ENSMUSP00000101006	ENSMUSG00000003072	91
ENSMUSP00000003183	ENSMUSG00000003099	21
ENSMUSP00000123485	ENSMUSG00000003123	73
ENSMUSP00000003215	ENSMUSG00000003131	38
ENSMUSP00000049967	ENSMUSG00000003134	39
ENSMUSP00000032476	ENSMUSG00000003153	19
ENSMUSP00000108194	ENSMUSG00000003154	31
ENSMUSP00000118221	ENSMUSG00000003161	21
ENSMUSP00000115071	ENSMUSG00000003166	30
ENSMUSP00000103466	ENSMUSG00000003184	98
ENSMUSP00000003290	ENSMUSG00000003190	6
ENSMUSP00000119745	ENSMUSG00000003199	1
ENSMUSP00000003268	ENSMUSG00000003200	47
ENSMUSP00000003274	ENSMUSG00000003206	46
ENSMUSP00000084082	ENSMUSG00000003208	2
ENSMUSP00000003310	ENSMUSG00000003226	161
ENSMUSP00000003312	ENSMUSG00000003227	46
ENSMUSP00000003313	ENSMUSG00000003228	48
ENSMUSP00000003318	ENSMUSG00000003233	70
ENSMUSP00000003320	ENSMUSG00000003235	16
ENSMUSP00000103356	ENSMUSG00000003269	13
ENSMUSP00000103363	ENSMUSG00000003271	42
ENSMUSP00000003360	ENSMUSG00000003273	5
ENSMUSP00000122896	ENSMUSG00000003279	16
ENSMUSP00000003369	ENSMUSG00000003282	28
ENSMUSP00000003370	ENSMUSG00000003283	44
ENSMUSP00000003386	ENSMUSG00000003299	149
ENSMUSP00000062467	ENSMUSG00000003308	36
ENSMUSP00000111093	ENSMUSG00000003309	12
ENSMUSP00000003404	ENSMUSG00000003316	16
ENSMUSP00000020383	ENSMUSG00000003341	1
ENSMUSP00000120751	ENSMUSG00000003344	3
ENSMUSP00000078706	ENSMUSG00000003345	19
ENSMUSP00000003442	ENSMUSG00000003352	28
ENSMUSP00000003444	ENSMUSG00000003354	1
ENSMUSP00000003445	ENSMUSG00000003355	19
ENSMUSP00000003450	ENSMUSG00000003360	3
ENSMUSP00000003453	ENSMUSG00000003363	7
ENSMUSP00000003468	ENSMUSG00000003378	12
ENSMUSP00000003469	ENSMUSG00000003379	122
ENSMUSP00000076227	ENSMUSG00000003380	26
ENSMUSP00000061383	ENSMUSG00000003382	26
ENSMUSP00000110987	ENSMUSG00000003402	35
ENSMUSP00000003501	ENSMUSG00000003410	13
ENSMUSP00000102262	ENSMUSG00000003411	10
ENSMUSP00000003509	ENSMUSG00000003418	1
ENSMUSP00000003512	ENSMUSG00000003420	26
ENSMUSP00000103460	ENSMUSG00000003421	2
ENSMUSP00000103441	ENSMUSG00000003423	16
ENSMUSP00000082544	ENSMUSG00000003429	127
ENSMUSP00000003527	ENSMUSG00000003435	74
ENSMUSP00000051147	ENSMUSG00000003436	40
ENSMUSP00000003529	ENSMUSG00000003437	24
ENSMUSP00000080614	ENSMUSG00000003438	7
ENSMUSP00000003536	ENSMUSG00000003444	21
ENSMUSP00000003544	ENSMUSG00000003452	10
ENSMUSP00000003550	ENSMUSG00000003458	69
ENSMUSP00000075289	ENSMUSG00000003464	32
