Ensembl Gene ID	UCSC ID
ENSMUSG00000087424	uc009srf.1
ENSMUSG00000087424	uc009srf.1
ENSMUSG00000002679	
ENSMUSG00000028184	uc008rsb.1
ENSMUSG00000028184	uc008rry.1
ENSMUSG00000028184	uc008rsc.1
ENSMUSG00000002679	uc007ocl.1
ENSMUSG00000091318	uc011wiw.1
ENSMUSG00000082788	
ENSMUSG00000002679	
ENSMUSG00000094564	
ENSMUSG00000022844	uc007zbl.1
ENSMUSG00000002679	uc007ocl.1
ENSMUSG00000097639	uc008pci.1
ENSMUSG00000026443	uc007cpi.2
ENSMUSG00000090465	
ENSMUSG00000092433	
ENSMUSG00000026443	
ENSMUSG00000029436	uc008zsy.1
ENSMUSG00000045757	uc009jvi.1
ENSMUSG00000029436	
ENSMUSG00000045757	
ENSMUSG00000097599	
ENSMUSG00000037997	uc009dvy.1
ENSMUSG00000082023	
ENSMUSG00000024785	uc008hda.1
ENSMUSG00000042774	uc007fyk.2
ENSMUSG00000075045	uc007fcw.1
ENSMUSG00000103274	
ENSMUSG00000037997	uc009dvw.1
ENSMUSG00000092225	uc009gmf.2
