geneId	anatEntityId
ENSDARG00000001785	UBERON:0002240
ENSDARG00000001785	UBERON:0002827
ENSDARG00000001785	UBERON:0003051
ENSDARG00000001785	UBERON:0005068
ENSDARG00000001785	UBERON:0005499
ENSDARG00000001785	UBERON:0010285
ENSDARG00000001785	UBERON:2001157
ENSDARG00000001788	UBERON:0000966
ENSDARG00000001788	UBERON:0001555
ENSDARG00000001788	UBERON:0001945
ENSDARG00000001788	UBERON:0002329
ENSDARG00000001788	UBERON:0003082
ENSDARG00000001788	UBERON:0004128
ENSDARG00000001788	UBERON:2001357
ENSDARG00000001803	ZFA:0001093
ENSDARG00000001807	UBERON:0003060
ENSDARG00000001807	UBERON:0003079
ENSDARG00000001829	UBERON:0000468
ENSDARG00000001832	UBERON:0000468
ENSDARG00000001835	UBERON:0001017
ENSDARG00000001859	UBERON:0001904
ENSDARG00000001859	UBERON:0002240
ENSDARG00000001859	UBERON:0015238
ENSDARG00000001859	UBERON:2007035
ENSDARG00000001859	UBERON:2007042
ENSDARG00000001859	ZFA:0001093
ENSDARG00000001870	UBERON:0000004
ENSDARG00000001870	UBERON:0000965
ENSDARG00000001870	UBERON:0000966
ENSDARG00000001870	UBERON:0001555
ENSDARG00000001870	UBERON:0001840
ENSDARG00000001870	UBERON:0001854
ENSDARG00000001870	UBERON:0001945
ENSDARG00000001870	UBERON:0002028
ENSDARG00000001870	UBERON:0002199
ENSDARG00000001870	UBERON:0002329
ENSDARG00000001870	UBERON:0003051
ENSDARG00000001870	UBERON:0003060
ENSDARG00000001870	UBERON:0003069
ENSDARG00000001870	UBERON:0003098
ENSDARG00000001870	UBERON:0004141
ENSDARG00000001870	UBERON:0004291
ENSDARG00000001870	UBERON:0005426
ENSDARG00000001870	UBERON:0005498
ENSDARG00000001870	UBERON:0007269
ENSDARG00000001870	UBERON:0010312
ENSDARG00000001870	UBERON:0011150
ENSDARG00000001870	UBERON:2000084
ENSDARG00000001870	UBERON:2007055
ENSDARG00000001870	ZFA:0001093
ENSDARG00000001879	UBERON:0000965
ENSDARG00000001879	UBERON:0001890
ENSDARG00000001879	UBERON:0001891
ENSDARG00000001879	UBERON:0001894
ENSDARG00000001879	UBERON:0002028
ENSDARG00000001879	UBERON:0002037
ENSDARG00000001879	UBERON:0002107
ENSDARG00000001879	UBERON:0002539
ENSDARG00000001879	UBERON:0003052
ENSDARG00000001879	UBERON:0003060
ENSDARG00000001879	UBERON:0003071
ENSDARG00000001879	UBERON:0005426
ENSDARG00000001879	UBERON:0005721
ENSDARG00000001879	UBERON:0010170
ENSDARG00000001879	UBERON:0010312
ENSDARG00000001879	UBERON:2000004
ENSDARG00000001879	UBERON:2007029
ENSDARG00000001879	UBERON:2007032
ENSDARG00000001879	UBERON:2007045
ENSDARG00000001880	UBERON:0000468
ENSDARG00000001880	UBERON:0000966
ENSDARG00000001880	UBERON:0002328
ENSDARG00000001880	UBERON:0002538
ENSDARG00000001880	UBERON:2000004
ENSDARG00000001880	UBERON:2000058
ENSDARG00000001881	UBERON:0000955
ENSDARG00000001881	UBERON:0000966
ENSDARG00000001881	UBERON:0001675
ENSDARG00000001881	UBERON:0001791
ENSDARG00000001881	UBERON:0001792
ENSDARG00000001881	UBERON:0001890
ENSDARG00000001881	UBERON:0005511
ENSDARG00000001881	UBERON:0005515
ENSDARG00000001881	UBERON:0005519
ENSDARG00000001881	UBERON:2001314
ENSDARG00000001882	UBERON:0003082
ENSDARG00000001889	UBERON:0000468
ENSDARG00000001890	ZFA:0001093
ENSDARG00000001898	ZFA:0001093
ENSDARG00000001910	UBERON:0000007
ENSDARG00000001910	UBERON:0000019
ENSDARG00000001910	UBERON:0000965
ENSDARG00000001910	UBERON:0000966
ENSDARG00000001910	UBERON:0001791
ENSDARG00000001910	UBERON:0001792
ENSDARG00000001910	UBERON:0001891
ENSDARG00000001910	UBERON:0001894
ENSDARG00000001910	UBERON:0001905
ENSDARG00000001910	UBERON:0001945
ENSDARG00000001910	UBERON:0002192
ENSDARG00000001910	UBERON:0003071
ENSDARG00000001910	UBERON:0003072
ENSDARG00000001910	UBERON:0004128
ENSDARG00000001910	UBERON:0005425
ENSDARG00000001910	UBERON:0005426
ENSDARG00000001910	UBERON:0006222
ENSDARG00000001910	UBERON:0010312
ENSDARG00000001910	UBERON:2001357
ENSDARG00000001912	UBERON:0001891
ENSDARG00000001912	UBERON:0001893
ENSDARG00000001912	UBERON:0001894
ENSDARG00000001912	UBERON:0001943
ENSDARG00000001912	UBERON:0002240
ENSDARG00000001912	UBERON:0003051
ENSDARG00000001912	UBERON:0005886
ENSDARG00000001912	UBERON:0009122
ENSDARG00000001929	UBERON:0000019
ENSDARG00000001929	UBERON:0000033
ENSDARG00000001929	UBERON:0000468
ENSDARG00000001929	UBERON:0000948
ENSDARG00000001929	UBERON:0000955
ENSDARG00000001929	UBERON:0001016
ENSDARG00000001929	UBERON:0001630
ENSDARG00000001929	UBERON:0001840
ENSDARG00000001929	UBERON:0002020
ENSDARG00000001929	UBERON:0002107
ENSDARG00000001929	UBERON:0002329
ENSDARG00000001929	UBERON:0008896
ENSDARG00000001929	UBERON:0010202
ENSDARG00000001929	UBERON:2000168
ENSDARG00000001939	UBERON:0000468
ENSDARG00000001950	UBERON:0002329
ENSDARG00000001950	UBERON:0003082
ENSDARG00000001950	UBERON:0003895
ENSDARG00000001950	UBERON:0007269
ENSDARG00000001950	UBERON:0008229
ENSDARG00000001968	UBERON:0000468
ENSDARG00000001969	ZFA:0001093
ENSDARG00000001975	UBERON:0000948
ENSDARG00000001975	UBERON:0000966
ENSDARG00000001975	UBERON:0001042
ENSDARG00000001975	UBERON:0001264
ENSDARG00000001975	UBERON:0001891
ENSDARG00000001975	UBERON:0002539
ENSDARG00000001975	UBERON:0003051
ENSDARG00000001975	UBERON:0003921
ENSDARG00000001975	UBERON:0003922
ENSDARG00000001975	UBERON:0004141
ENSDARG00000001975	UBERON:0004291
ENSDARG00000001975	UBERON:0005253
ENSDARG00000001976	UBERON:0000966
ENSDARG00000001976	UBERON:0001893
ENSDARG00000001976	UBERON:0001905
ENSDARG00000001994	UBERON:0001017
ENSDARG00000001994	UBERON:0001714
ENSDARG00000001994	UBERON:0001792
ENSDARG00000002002	ZFA:0001093
ENSDARG00000002006	UBERON:0000468
ENSDARG00000002006	UBERON:0004750
ENSDARG00000002013	ZFA:0001093
ENSDARG00000002016	ZFA:0001093
ENSDARG00000002020	UBERON:0000033
ENSDARG00000002020	UBERON:0000925
ENSDARG00000002060	ZFA:0001093
ENSDARG00000002077	UBERON:0000468
ENSDARG00000002082	ZFA:0001093
ENSDARG00000002084	UBERON:0000019
ENSDARG00000002084	UBERON:0000033
ENSDARG00000002084	UBERON:0000151
ENSDARG00000002084	UBERON:0000955
ENSDARG00000002084	UBERON:0001774
ENSDARG00000002084	UBERON:0001894
ENSDARG00000002084	UBERON:0002240
ENSDARG00000002084	UBERON:0003051
ENSDARG00000002084	UBERON:0003082
ENSDARG00000002084	UBERON:0005426
ENSDARG00000002084	UBERON:0005427
ENSDARG00000002084	UBERON:0007812
ENSDARG00000002084	UBERON:0008896
ENSDARG00000002084	UBERON:2001089
ENSDARG00000002127	UBERON:0000019
ENSDARG00000002127	UBERON:0001016
ENSDARG00000002127	UBERON:0001017
ENSDARG00000002127	UBERON:0001714
ENSDARG00000002127	UBERON:0010312
ENSDARG00000002127	ZFA:0001093
ENSDARG00000002128	UBERON:0000178
ENSDARG00000002128	UBERON:0000468
ENSDARG00000002129	UBERON:0002538
ENSDARG00000002129	UBERON:2000058
ENSDARG00000002129	ZFA:0001093
ENSDARG00000002131	UBERON:0000019
ENSDARG00000002131	UBERON:0001017
ENSDARG00000002131	UBERON:0001049
ENSDARG00000002131	UBERON:0001714
ENSDARG00000002131	UBERON:0001890
ENSDARG00000002131	UBERON:0001892
ENSDARG00000002131	UBERON:0001893
ENSDARG00000002131	UBERON:0001894
ENSDARG00000002131	UBERON:0002028
ENSDARG00000002131	UBERON:0002037
ENSDARG00000002131	UBERON:0003082
